               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.019872,           0.0059683,                   0,             0.89842,             0.95575,             0.93213,             0.51923,            0.031966,           0.0047309,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.019935,           0.0064144,                   0,             0.91451,             0.94666,             0.91834,             0.51612,            0.032314,           0.0047908,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.020212,           0.0056126,                   0,             0.92225,             0.94479,             0.92394,             0.52262,            0.031686,           0.0047382,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.020691,           0.0058025,                   0,             0.92384,              0.9292,               0.928,             0.53406,            0.031931,           0.0048382,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.020469,           0.0060752,                   0,             0.92007,             0.91679,              0.9273,             0.53181,            0.032153,           0.0049414,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.020445,            0.006123,                   0,              0.9048,              0.9115,             0.92323,             0.53114,            0.032545,           0.0049681,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.019771,           0.0063015,                   0,             0.92776,             0.90922,             0.94564,             0.54399,            0.032365,           0.0049451,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.019752,           0.0061637,                   0,               0.878,             0.95531,             0.94577,             0.54264,              0.0318,           0.0049078,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.019748,            0.006079,                   0,             0.88506,             0.95399,             0.94755,             0.55076,             0.03132,           0.0048433,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.019015,           0.0058821,                   0,             0.89793,             0.93428,             0.94141,             0.54796,            0.031356,           0.0048371,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.020411,            0.005898,                   0,             0.87174,             0.96239,             0.93774,             0.54459,            0.031838,           0.0048889,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.018842,           0.0056555,                   0,             0.89737,             0.92858,             0.93939,              0.5469,            0.031899,           0.0049322,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.017859,           0.0060898,                   0,             0.90256,             0.92035,             0.93779,             0.53754,             0.03211,           0.0049455,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.018899,           0.0057683,                   0,             0.89231,              0.9292,             0.94477,             0.54409,            0.032056,           0.0049758,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.019109,           0.0057731,                   0,             0.90363,             0.91275,             0.94606,             0.54713,            0.031601,           0.0049215,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.019476,            0.005941,                   0,             0.92017,             0.92035,             0.94563,             0.54358,            0.031599,           0.0048899,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.018622,           0.0059385,                   0,             0.91955,             0.91038,             0.93965,             0.54079,            0.031345,            0.004865,                   0,            0.000496,            0.000496,            0.000496
                  98,             0.01905,            0.005927,                   0,              0.9101,             0.92035,             0.93839,             0.53582,            0.031319,            0.004843,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.018707,           0.0058837,                   0,             0.91192,             0.92035,             0.93879,             0.54162,            0.031399,           0.0048416,                   0,            0.000298,            0.000298,            0.000298
